,PC1,PC2,PC3,PC4,PC5,PC6
BLCA,-0.20267496971988738,-0.5467096526314591,-0.15163683101670072,-0.07210651119377208,0.16503330001315192,0.04071163357738768
BRCA,0.04667385723433435,-0.3260466291109915,-0.22398465041707089,-0.03101909715318131,0.025227516059747414,-0.06026486562350451
COAD,-0.10324992925243379,0.6683067932083478,0.24769499243254242,-0.04727170878512758,0.09944149847606003,0.03672284450280756
ESCA,-0.6915984451753464,0.011852637157479933,0.4814816830735797,-0.3279284540277144,-0.0965063576730669,-0.12415482024633039
HNSC,0.21017864789390142,-0.329996226623989,-0.08782052722988722,-0.13513021656922675,-0.13587941057807748,0.19748031192018825
KIRC,0.261945559077368,0.44063541475378765,-0.31204285293747436,0.17490221507955836,-0.13811582001641287,-0.10481773187098732
KIRP,0.3700383499895304,0.4888442369004803,-0.3289771644961164,0.12325823930199911,-0.07349831876991805,-0.07581652554180088
LIHC,-0.5720045649482227,-0.3254557742020671,0.6248099421287229,0.5013734272248791,0.009840720689661164,0.03312693331708617
LUAD,-0.05142968854453846,-0.15697471563634297,-0.0055421313823284515,0.017544490939428798,-0.027104378614423084,-0.046732499900729335
LUSC,-1.3263942570721898,-0.0102344820119523,-0.25655379567000847,-0.0019455795071369618,-0.18443943701833104,-0.0010642811251120336
PRAD,1.4077376107962134,-0.24061176438731927,0.2068014031783025,-0.03947271091261664,0.16045575478878296,-0.13320929032999812
READ,-0.13830247175054483,0.8527498706706703,-0.010235429171228261,-0.0285984173910471,0.20047996549705435,0.13011459744737264
STAD,0.06977971309019558,0.02940750642927516,0.3601888897655766,-0.17725559009874772,-0.0608615980330426,0.02335792749316881
THCA,1.4478106994522721,-0.18537285536595274,-0.06298659288256858,0.03355395252213297,-0.14971960322364328,0.10274720811706539
UCEC,-0.7285101110706499,-0.37039435914996394,-0.4811969353753405,0.010095960570570932,0.20564616840245617,-0.01820144173661465
